id	title	entry_url	pdf_url	status	final_url	file_path	note
12	OPTIMAL ADMISSION CONTROL IN QUEUES WITH WORKLOAD-DEPENDENT SERVICE RATES | Probability in the Engineering and Informational Sciences | Cambridge Core	https://www.cambridge.org/core/journals/probability-in-the-engineering-and-informational-sciences/article/optimal-admission-control-in-queues-with-workloaddependent-service-rates/215C41699880E5D73BD385FE3ED0DD80	https://www.cambridge.org/core/services/aop-cambridge-core/content/view/215C41699880E5D73BD385FE3ED0DD80/S0269964818000496a.pdf/optimal-admission-control-in-queues-with-workload-dependent-service-rates.pdf	pdf_attempt_non_pdf+page_saved	https://www.cambridge.org/core/journals/probability-in-the-engineering-and-informational-sciences/article/abs/optimal-admission-control-in-queues-with-workloaddependent-service-rates/215C41699880E5D73BD385FE3ED0DD80	reference/pages/12_optimal_admission_control_in_queues_with_workload_dependent_service_rates_probability_pdf_attempt.html;reference/pages/12_optimal_admission_control_in_queues_with_workload_dependent_service_rates_probability.html	819314 bytes; content_type=text/html; charset=utf-8; entry 819313 bytes; content_type=text/html; charset=utf-8
13	A survey on discriminatory processor sharing | Queueing Systems | Springer Nature Link	https://link.springer.com/article/10.1007/s11134-006-7586-8	https://link.springer.com/content/pdf/10.1007/s11134-006-7586-8.pdf	pdf_attempt_non_pdf+page_saved	https://link.springer.com/content/pdf/10.1007/s11134-006-7586-8.pdf	reference/pages/13_a_survey_on_discriminatory_processor_sharing_queueing_systems_springer_nature_link_pdf_attempt.html;reference/pages/13_a_survey_on_discriminatory_processor_sharing_queueing_systems_springer_nature_link.html	3038 bytes; content_type=text/html; charset=utf-8; entry 3038 bytes; content_type=text/html; charset=utf-8
14	Stability properties of constrained queueing systems and ...	https://www.di.ens.fr/~busic/mar/projets/TE92.pdf	https://www.di.ens.fr/~busic/mar/projets/TE92.pdf	pdf	https://www.di.ens.fr/~busic/mar/projets/TE92.pdf	reference/papers/14_stability_properties_of_constrained_queueing_systems_and.pdf	1116369 bytes; content_type=application/pdf
15	Learning While Scheduling in Multi-Server Systems With Unknown Statistics: MaxWeight with Discounted UCB	https://proceedings.mlr.press/v206/yang23d.html	https://proceedings.mlr.press/v206/yang23d/yang23d.pdf	pdf	https://proceedings.mlr.press/v206/yang23d/yang23d.pdf	reference/papers/15_learning_while_scheduling_in_multi_server_systems_with_unknown_statistics_maxweight_wi.pdf	6434102 bytes; content_type=application/pdf
16	[2011.07401] RL-QN: A Reinforcement Learning Framework for Optimal Control of Queueing Systems	https://arxiv.org/abs/2011.07401	https://arxiv.org/pdf/2011.07401	pdf	https://arxiv.org/pdf/2011.07401	reference/papers/16_rl_qn_a_reinforcement_learning_framework_for_optimal_control_of_queueing_systems.pdf	873310 bytes; content_type=application/pdf
17	Queueing Network Controls via Deep Reinforcement Learning | Stochastic Systems	https://pubsonline.informs.org/doi/10.1287/stsy.2021.0081	https://pubsonline.informs.org/doi/pdf/10.1287/stsy.2021.0081	pdf_failed			HTTPError: HTTP Error 403: Forbidden; entry HTTPError: HTTP Error 403: Forbidden
18	[1907.10792] Simple Near-Optimal Scheduling for the M/G/1	https://arxiv.org/abs/1907.10792	https://arxiv.org/pdf/1907.10792	pdf	https://arxiv.org/pdf/1907.10792	reference/papers/18_simple_near_optimal_scheduling_for_the_m_g_1.pdf	1067148 bytes; content_type=application/pdf
19	AlloX: Compute Allocation in Hybrid Clusters	https://www.mosharaf.com/wp-content/uploads/allox-eurosys20.pdf	https://www.mosharaf.com/wp-content/uploads/allox-eurosys20.pdf	pdf	https://www.mosharaf.com/wp-content/uploads/allox-eurosys20.pdf	reference/papers/19_allox_compute_allocation_in_hybrid_clusters.pdf	1136406 bytes; content_type=application/pdf
20	Deep Learning Workload Scheduling in GPU Datacenters: Taxonomy, Challenges and Vision	https://arxiv.org/pdf/2205.11913	https://arxiv.org/pdf/2205.11913	pdf	https://arxiv.org/pdf/2205.11913	reference/papers/20_deep_learning_workload_scheduling_in_gpu_datacenters_taxonomy_challenges_and_vision.pdf	1290786 bytes; content_type=application/pdf
21	Themis: Fair and Efficient GPU Cluster Scheduling  | USENIX	https://www.usenix.org/conference/nsdi20/presentation/mahajan	https://www.usenix.org/system/files/nsdi20-paper-mahajan.pdf	pdf	https://www.usenix.org/system/files/nsdi20-paper-mahajan.pdf	reference/papers/21_themis_fair_and_efficient_gpu_cluster_scheduling_usenix.pdf	1004674 bytes; content_type=application/pdf
22	Heterogeneity-Aware Cluster Scheduling Policies for Deep Learning Workloads | USENIX	https://www.usenix.org/conference/osdi20/presentation/narayanan-deepak	https://www.usenix.org/system/files/osdi20-narayanan_deepak.pdf	pdf	https://www.usenix.org/system/files/osdi20-narayanan_deepak.pdf	reference/papers/22_heterogeneity_aware_cluster_scheduling_policies_for_deep_learning_workloads_usenix.pdf	862715 bytes; content_type=application/pdf
23	Sia: Heterogeneity-aware, goodput-optimized ML-cluster scheduling	https://www.pdl.cmu.edu/PDL-FTP/BigLearning/sia_sosp23-final.pdf	https://www.pdl.cmu.edu/PDL-FTP/BigLearning/sia_sosp23-final.pdf	pdf	https://www.pdl.cmu.edu/PDL-FTP/BigLearning/sia_sosp23-final.pdf	reference/papers/23_sia_heterogeneity_aware_goodput_optimized_ml_cluster_scheduling.pdf	1297325 bytes; content_type=application/pdf
24	ResLake: Towards Minimum Job Latency and Balanced Resource Utilization in Geo-distributed Job Scheduling	https://www.vldb.org/pvldb/vol17/p3934-kashaf.pdf	https://www.vldb.org/pvldb/vol17/p3934-kashaf.pdf	pdf	https://www.vldb.org/pvldb/vol17/p3934-kashaf.pdf	reference/papers/24_reslake_towards_minimum_job_latency_and_balanced_resource_utilization_in_geo_distribut.pdf	3107628 bytes; content_type=application/pdf
25	Workload Placement on Heterogeneous CPU-GPU Systems	https://upcommons.upc.edu/bitstreams/85fd168e-8c7b-442f-923e-ea166c79ef5b/download	https://upcommons.upc.edu/bitstreams/85fd168e-8c7b-442f-923e-ea166c79ef5b/download	pdf	https://upcommons.upc.edu/server/api/core/bitstreams/85fd168e-8c7b-442f-923e-ea166c79ef5b/content	reference/papers/25_workload_placement_on_heterogeneous_cpu_gpu_systems.pdf	499974 bytes; content_type=application/pdf;charset=UTF-8
26	Submission Guidelines | Operations Research	https://pubsonline.informs.org/page/opre/submission-guidelines		entry_failed			entry HTTPError: HTTP Error 403: Forbidden
27	[2008.12260] Pollux: Co-adaptive Cluster Scheduling for Goodput-Optimized Deep Learning	https://arxiv.org/abs/2008.12260	https://arxiv.org/pdf/2008.12260	pdf	https://arxiv.org/pdf/2008.12260	reference/papers/27_pollux_co_adaptive_cluster_scheduling_for_goodput_optimized_deep_learning.pdf	1808204 bytes; content_type=application/pdf
28	[2008.09213] Heterogeneity-Aware Cluster Scheduling Policies for Deep Learning Workloads	https://arxiv.org/abs/2008.09213	https://arxiv.org/pdf/2008.09213	pdf	https://arxiv.org/pdf/2008.09213	reference/papers/28_heterogeneity_aware_cluster_scheduling_policies_for_deep_learning_workloads.pdf	955351 bytes; content_type=application/pdf
29	Learning While Scheduling in Multi-Server Systems with Unknown Statistics: MaxWeight with Discounted UCB	https://arxiv.org/abs/2209.01126	https://arxiv.org/pdf/2209.01126	pdf	https://arxiv.org/pdf/2209.01126	reference/papers/29_learning_while_scheduling_in_multi_server_systems_with_unknown_statistics_maxweight_wi.pdf	31348634 bytes; content_type=application/pdf
30	Salus: Fine-Grained GPU Sharing Primitives for Deep Learning Applications	https://arxiv.org/abs/1902.04610	https://arxiv.org/pdf/1902.04610	pdf	https://arxiv.org/pdf/1902.04610	reference/papers/30_salus_fine_grained_gpu_sharing_primitives_for_deep_learning_applications.pdf	795479 bytes; content_type=application/pdf
